Table 1
Instance;Humans;Robots;Robot Eligibility;Optimal solution;Best known solution;Lower bound
217;1;2;0,25;1397;1397;1397
218;1;2;0,5;865;865;865
219;1;2;1;529;529;529
220;1;2;0,25;3316;3316;3316
221;1;2;0,5;2476;2476;2476
222;1;2;1;;1506;1475
223;1;3;0,25;2547;2547;2547
224;1;3;0,5;1899;1899;1899
225;1;3;1;;731;679
226;1;3;0,25;4872;4872;4872
227;1;3;0,5;2960;2960;2960
228;1;3;1;1551;1551;1551
229;1;2;0,25;1388;1388;1388
230;1;2;0,5;993;993;993
231;1;2;1;498;498;498
232;1;2;0,25;3593;3593;3593
233;1;2;0,5;3044;3044;3044
234;1;2;1;;1289;1226
235;1;3;0,25;1905;1905;1905
236;1;3;0,5;1404;1404;1404
237;1;3;1;647;647;647
238;1;3;0,25;;5013;4968
239;1;3;0,5;;3380;3336
240;1;3;1;;1515;1481
241;1;2;0,25;1116;1116;1116
242;1;2;0,5;1156;1156;1156
243;1;2;1;407;407;407
244;1;2;0,25;3616;3616;3616
245;1;2;0,5;2396;2396;2396
246;1;2;1;;1257;1219
247;1;3;0,25;;1959;1905
248;1;3;0,5;1245;1245;1245
249;1;3;1;;621;586
250;1;3;0,25;5778;5778;5778
251;1;3;0,5;;2796;2754
252;1;3;1;;1451;1418
253;1;2;0,25;1066;1066;1066
254;1;2;0,5;864;864;864
255;1;2;1;;673;636
256;1;2;0,25;2596;2596;2596
257;1;2;0,5;;1952;1913
258;1;2;1;;1272;1240
259;1;3;0,25;1563;1563;1563
260;1;3;0,5;1341;1341;1341
261;1;3;1;;521;487
262;1;3;0,25;5622;5622;5622
263;1;3;0,5;2400;2400;2400
264;1;3;1;;1569;1542
265;1;2;0,25;;950;924
266;1;2;0,5;;999;986
267;1;2;1;;583;575
268;1;2;0,25;2200;2200;2200
269;1;2;0,5;;2139;2117
270;1;2;1;;1092;1075
271;1;3;0,25;1968;1968;1968
272;1;3;0,5;1107;1107;1107
273;1;3;1;;643;600
274;1;3;0,25;;5120;5031
275;1;3;0,5;;3719;3678
276;1;3;1;;1565;1530
277;2;2;0,25;904;904;904
278;2;2;0,5;;578;574
279;2;2;1;294;294;294
280;2;2;0,25;1942;1942;1942
281;2;2;0,5;;1128;1109
282;2;2;1;;894;875
283;2;3;0,25;942;942;942
284;2;3;0,5;;641;616
285;2;3;1;412;412;412
286;2;3;0,25;2669;2669;2669
287;2;3;0,5;;2124;2032
288;2;3;1;;1255;1217
289;2;2;0,25;805;805;805
290;2;2;0,5;382;382;382
291;2;2;1;;444;428
292;2;2;0,25;2169;2169;2169
293;2;2;0,5;;1195;1175
294;2;2;1;;917;857
295;2;3;0,25;;1264;1168
296;2;3;0,5;;849;842
297;2;3;1;;435;424
298;2;3;0,25;2496;2496;2496
299;2;3;0,5;;1868;1857
300;2;3;1;;1136;1058
301;2;2;0,25;;606;580
302;2;2;0,5;;547;517
303;2;2;1;;378;344
304;2;2;0,25;;1567;1563
305;2;2;0,5;;1081;1067
306;2;2;1;;792;785
307;2;3;0,25;;1054;1017
308;2;3;0,5;;449;441
309;2;3;1;;356;342
310;2;3;0,25;2853;2853;2853
311;2;3;0,5;;1764;1749
312;2;3;1;;1206;1140
313;2;2;0,25;;836;834
314;2;2;0,5;;523;493
315;2;2;1;;366;357
316;2;2;0,25;;1348;1336
317;2;2;0,5;;1160;1157
318;2;2;1;;975;946
319;2;3;0,25;;913;891
320;2;3;0,5;;788;755
321;2;3;1;;515;477
322;2;3;0,25;;1927;1893
323;2;3;0,5;;1607;1559
324;2;3;1;;1000;978
325;2;2;0,25;605;605;605
326;2;2;0,5;;438;437
327;2;2;1;;403;384
328;2;2;0,25;;1456;1454
329;2;2;0,5;;1273;1211
330;2;2;1;;985;967
331;2;3;0,25;1191;1191;1191
332;2;3;0,5;;653;622
333;2;3;1;;405;390
334;2;3;0,25;;2949;2935
335;2;3;0,5;;1793;1746
336;2;3;1;;1104;1093
